session_id,order_id,variant,device_type,user_type,product_category,order_value_eur,products_in_order,conversion_time_hours
100990,ORD200053,B,desktop,new,sofa,2234.8559999999998,1,0.7
101009,ORD200054,A,mobile,new,decor,142.57,2,23.78
101012,ORD200055,A,mobile,returning,bed,1800.0,2,30.9
101034,ORD200056,A,mobile,new,sofa,1118.43,1,10.82
101110,ORD200057,A,mobile,new,decor,165.25,2,15.09
101117,ORD200058,A,mobile,returning,bed,1800.0,1,27.44
101168,ORD200059,B,mobile,returning,dining,820.116,1,73.97
101177,ORD200060,B,desktop,returning,dining,1140.0,1,74.74
101188,ORD200061,A,mobile,returning,dining,723.36,1,8.54
101205,ORD200062,A,mobile,new,sofa,1465.39,3,16.52
101227,ORD200063,B,mobile,returning,sofa,1564.137,1,0.91
101247,ORD200064,A,tablet,returning,sofa,1218.98,1,13.52
101250,ORD200065,A,tablet,returning,sofa,1133.72,1,7.33
101287,ORD200066,A,desktop,returning,decor,125.54,1,30.61
101302,ORD200067,A,mobile,new,sofa,1252.5,3,22.0
101346,ORD200068,A,desktop,returning,dining,810.96,2,0.71
101347,ORD200069,A,desktop,returning,bed,1514.55,2,1.03
101359,ORD200070,A,desktop,returning,bed,1800.0,1,16.65
101369,ORD200071,B,tablet,returning,dining,1140.0,1,20.01
101419,ORD200072,A,desktop,returning,dining,1200.0,1,21.19
101453,ORD200073,A,desktop,returning,decor,106.38,3,9.77
101456,ORD200074,B,mobile,new,dining,659.661,1,10.85
101468,ORD200075,B,mobile,new,dining,440.82849999999996,1,3.13
101469,ORD200076,B,desktop,returning,dining,1090.4479999999999,1,14.2
101477,ORD200077,B,desktop,returning,dining,714.951,1,2.11
101497,ORD200078,A,mobile,returning,dining,684.55,1,3.45
101507,ORD200079,B,mobile,returning,lighting,186.2095,1,21.92
101518,ORD200080,A,mobile,returning,dining,876.93,2,10.9
101532,ORD200081,A,mobile,returning,decor,126.55,1,27.72
101550,ORD200082,A,mobile,new,decor,86.07,1,1.34
101557,ORD200083,A,mobile,returning,decor,250.0,1,13.37
101564,ORD200084,A,tablet,returning,bed,1800.0,2,0.33
101573,ORD200085,A,desktop,new,dining,964.83,2,8.0
101599,ORD200086,A,desktop,returning,lighting,400.0,1,98.36
101627,ORD200087,A,mobile,new,sofa,2210.01,1,2.59
101646,ORD200088,B,mobile,new,dining,401.6885,2,1.06
101659,ORD200089,B,mobile,new,decor,79.211,2,0.79
101684,ORD200090,A,desktop,returning,sofa,2500.0,2,23.0
101690,ORD200091,B,mobile,returning,dining,521.5595,1,11.83
101701,ORD200092,A,desktop,returning,decor,76.14,1,87.83
101702,ORD200093,B,mobile,new,decor,75.164,2,24.95
101704,ORD200094,A,desktop,new,dining,1200.0,1,6.82
101815,ORD200095,A,mobile,new,decor,139.8,1,1.53
101818,ORD200096,B,mobile,returning,lighting,276.16499999999996,2,1.77
101832,ORD200097,A,desktop,returning,sofa,2500.0,1,1.09
101923,ORD200098,A,mobile,new,decor,84.43,1,35.71
101926,ORD200099,A,mobile,new,sofa,600.0,1,30.42
101972,ORD200100,B,mobile,returning,lighting,368.6665,2,8.53
101974,ORD200101,A,desktop,new,sofa,1248.46,1,8.51
101987,ORD200102,A,desktop,new,decor,165.18,2,4.25
102029,ORD200103,B,mobile,returning,decor,68.80850000000001,1,3.82
102055,ORD200104,A,desktop,returning,decor,60.44,1,7.59
102060,ORD200105,A,desktop,new,dining,1143.53,1,0.61
102070,ORD200106,B,desktop,new,decor,111.9005,1,16.7
102092,ORD200107,A,mobile,new,decor,192.8,1,8.46
102095,ORD200108,A,desktop,returning,sofa,993.14,1,26.23
102129,ORD200109,A,mobile,new,sofa,1769.9,1,21.41
102176,ORD200110,A,desktop,returning,dining,622.47,1,24.67
102179,ORD200111,B,desktop,new,sofa,2284.3225,1,10.92
102187,ORD200112,B,desktop,returning,sofa,1298.6975,1,4.22
102214,ORD200113,A,mobile,returning,decor,210.4,1,5.34
102222,ORD200114,A,desktop,new,decor,107.66,1,6.59
102280,ORD200115,A,desktop,returning,sofa,931.2,1,52.49
102303,ORD200116,A,mobile,new,sofa,1944.68,1,1.79
102353,ORD200117,A,desktop,returning,sofa,1048.45,2,8.09
102362,ORD200118,B,desktop,returning,dining,1094.4569999999999,2,14.2
102380,ORD200119,B,desktop,returning,dining,1008.0925000000001,1,2.92
102473,ORD200120,A,mobile,new,decor,117.44,1,14.7
102480,ORD200121,B,desktop,returning,lighting,128.63,2,5.67
102496,ORD200122,A,mobile,new,lighting,131.07,2,34.07
102506,ORD200123,A,desktop,new,bed,1750.41,1,2.08
102511,ORD200124,B,desktop,new,lighting,95.0,1,4.91
102552,ORD200125,A,mobile,new,sofa,2500.0,1,27.04
102578,ORD200126,A,desktop,returning,decor,120.99,1,13.05
102630,ORD200127,A,desktop,returning,sofa,1578.85,1,0.39
102645,ORD200128,A,mobile,returning,sofa,905.58,1,3.41
102656,ORD200129,B,desktop,new,sofa,2375.0,1,5.58
102662,ORD200130,B,desktop,returning,lighting,260.91749999999996,1,43.52
102711,ORD200131,A,desktop,new,decor,103.23,1,3.09
102736,ORD200132,B,mobile,returning,decor,161.0155,2,4.45
102746,ORD200133,B,mobile,returning,bed,1013.0229999999999,3,80.12
102781,ORD200134,A,desktop,new,decor,154.32,2,13.27
102816,ORD200135,A,mobile,returning,sofa,1813.48,1,45.83
102826,ORD200136,A,desktop,returning,decor,120.41,1,11.91
102827,ORD200137,A,mobile,returning,decor,250.0,1,20.75
102838,ORD200138,B,mobile,new,sofa,1566.4264999999998,3,16.87
102850,ORD200139,A,desktop,new,decor,149.09,1,3.04
102861,ORD200140,B,mobile,new,bed,1314.23,1,12.32
102862,ORD200141,A,desktop,returning,dining,788.33,1,2.56
102882,ORD200142,B,desktop,new,decor,167.0195,1,38.9
102926,ORD200143,B,desktop,returning,sofa,1512.9035,1,4.23
102935,ORD200144,A,desktop,new,dining,300.0,1,12.18
102938,ORD200145,B,desktop,new,decor,89.794,1,19.69
102955,ORD200146,B,mobile,returning,sofa,2375.0,1,16.28
102969,ORD200147,A,desktop,returning,sofa,1577.16,1,6.78
102982,ORD200148,B,mobile,returning,sofa,2375.0,1,16.95
103018,ORD200149,A,mobile,returning,bed,523.06,1,8.89
103027,ORD200150,B,desktop,returning,sofa,1453.0819999999999,1,17.04
103035,ORD200151,B,mobile,new,bed,870.7225,1,11.54
103042,ORD200152,B,mobile,returning,sofa,993.3770000000001,1,4.26
103047,ORD200153,A,desktop,returning,bed,914.66,1,168.0
103050,ORD200154,B,mobile,returning,dining,564.9555,1,16.31
103062,ORD200155,B,mobile,returning,dining,285.0,3,4.44
103078,ORD200156,B,tablet,returning,lighting,380.0,1,14.97
103095,ORD200157,B,mobile,returning,bed,995.2104999999999,2,11.84
103102,ORD200158,A,desktop,new,lighting,184.39,1,0.09
103109,ORD200159,A,desktop,returning,decor,92.53,2,64.69
103169,ORD200160,A,mobile,returning,decor,130.15,1,14.34
103179,ORD200161,A,mobile,returning,bed,1675.83,2,7.69
103190,ORD200162,A,mobile,returning,sofa,893.78,1,22.97
103194,ORD200163,B,mobile,returning,decor,236.265,1,23.5
103303,ORD200164,A,desktop,new,lighting,175.25,1,12.48
103307,ORD200165,A,mobile,returning,dining,820.22,1,30.41
103311,ORD200166,B,desktop,returning,decor,162.87749999999997,2,70.02
103337,ORD200167,A,desktop,new,dining,834.37,3,8.96
103344,ORD200168,B,mobile,returning,decor,149.52049999999997,1,14.03
103347,ORD200169,A,mobile,new,dining,895.19,1,0.56
103413,ORD200170,B,desktop,new,sofa,1623.968,1,3.3
103446,ORD200171,A,mobile,returning,dining,456.09,1,54.35
103449,ORD200172,A,mobile,returning,bed,1303.57,1,1.76
103461,ORD200173,A,mobile,returning,decor,105.32,1,20.03
103482,ORD200174,B,mobile,returning,decor,237.5,1,84.51
103487,ORD200175,A,desktop,new,lighting,400.0,3,6.92
103489,ORD200176,B,mobile,returning,decor,61.7785,1,18.09
103495,ORD200177,A,mobile,returning,decor,165.28,1,5.99
103536,ORD200178,B,mobile,new,lighting,114.9595,1,12.32
103546,ORD200179,A,mobile,returning,sofa,1279.95,1,135.61
103618,ORD200180,A,mobile,new,dining,613.13,1,13.54
103627,ORD200181,A,desktop,returning,sofa,2500.0,1,5.53
103640,ORD200182,B,mobile,new,sofa,1499.195,1,28.47
103662,ORD200183,B,tablet,returning,decor,179.132,3,11.57
103670,ORD200184,A,tablet,returning,sofa,2352.67,1,0.6
103675,ORD200185,B,mobile,new,sofa,1448.009,2,1.71
103676,ORD200186,B,desktop,new,bed,1699.4645,1,3.52
103688,ORD200187,B,mobile,new,sofa,1185.543,1,26.75
103747,ORD200188,B,mobile,returning,decor,44.403,2,43.76
103788,ORD200189,A,mobile,new,dining,682.83,1,3.66
103812,ORD200190,A,desktop,returning,lighting,320.04,1,4.09
103830,ORD200191,A,desktop,returning,bed,1243.06,1,4.97
103844,ORD200192,A,mobile,returning,bed,1777.03,1,25.47
103855,ORD200193,B,desktop,new,bed,696.5875,1,0.61
103888,ORD200194,B,mobile,returning,bed,719.2735,1,21.57
103900,ORD200195,B,mobile,new,bed,1200.7905,1,90.3
103911,ORD200196,B,desktop,returning,dining,404.1015,1,31.5
103929,ORD200197,B,mobile,new,dining,285.0,1,2.98
103935,ORD200198,A,mobile,new,decor,140.84,1,8.58
103943,ORD200199,A,desktop,returning,decor,82.03,1,8.87
103950,ORD200200,B,mobile,returning,bed,1693.1754999999998,1,16.66
103959,ORD200201,B,desktop,returning,sofa,610.679,1,0.94
103985,ORD200202,A,mobile,new,dining,998.34,1,4.37
103996,ORD200203,A,desktop,returning,lighting,66.87,1,4.54
104023,ORD200204,B,mobile,new,sofa,1560.4509999999998,3,12.87
104061,ORD200205,A,mobile,returning,decor,111.56,2,25.28
104074,ORD200206,A,mobile,returning,lighting,86.47,1,10.01
104110,ORD200207,A,desktop,new,sofa,2500.0,1,3.04
104173,ORD200208,A,mobile,new,sofa,600.0,1,6.53
104206,ORD200209,A,mobile,returning,dining,995.43,1,28.88
104228,ORD200210,A,mobile,new,bed,1786.64,1,5.07
104237,ORD200211,A,desktop,returning,bed,1305.5,1,34.16
104246,ORD200212,A,desktop,new,bed,853.16,2,9.5
104265,ORD200213,A,desktop,returning,lighting,104.9,1,3.43
104268,ORD200214,A,desktop,returning,sofa,945.96,1,17.21
104285,ORD200215,B,desktop,returning,decor,184.39499999999998,1,13.31
104306,ORD200216,A,desktop,new,bed,1511.61,2,0.91
104334,ORD200217,B,desktop,returning,bed,1114.7775,2,3.14
104335,ORD200218,B,mobile,new,bed,471.01,1,5.88
104389,ORD200219,A,desktop,returning,decor,68.83,1,27.7
104402,ORD200220,A,mobile,returning,dining,514.71,1,2.09
104476,ORD200221,B,desktop,returning,sofa,936.2249999999999,1,89.53
104477,ORD200222,A,tablet,new,dining,1008.12,1,0.24
104505,ORD200223,B,mobile,returning,sofa,781.4795,1,7.68
104521,ORD200224,A,mobile,new,decor,152.23,2,6.55
104567,ORD200225,A,desktop,new,sofa,2500.0,2,0.75
104572,ORD200226,A,desktop,returning,dining,532.85,1,4.93
104621,ORD200227,A,tablet,returning,dining,300.0,2,12.14
104693,ORD200228,A,desktop,returning,lighting,188.44,2,23.67
104699,ORD200229,B,mobile,returning,bed,1014.4860000000001,2,17.53
104702,ORD200230,A,mobile,returning,decor,107.55,2,1.75
104726,ORD200231,A,tablet,new,bed,1457.58,1,13.58
104727,ORD200232,A,desktop,new,dining,898.88,1,8.74
104734,ORD200233,B,mobile,returning,dining,643.3495,1,5.65
104737,ORD200234,B,mobile,new,dining,729.9799999999999,1,0.1
104782,ORD200235,A,mobile,returning,sofa,2500.0,2,37.82
104842,ORD200236,A,mobile,returning,sofa,2389.91,2,4.37
104857,ORD200237,A,desktop,returning,decor,95.75,1,21.58
104935,ORD200238,A,desktop,returning,sofa,1840.84,1,2.57
105001,ORD200239,B,mobile,returning,lighting,308.3415,2,5.5
105023,ORD200240,B,mobile,returning,bed,1144.047,2,57.48
105030,ORD200241,B,mobile,returning,decor,91.2095,1,7.3
105059,ORD200242,B,mobile,returning,dining,937.213,1,11.73
105153,ORD200243,A,desktop,new,bed,657.8,1,2.14
105182,ORD200244,A,desktop,returning,dining,873.94,1,23.47
105215,ORD200245,B,desktop,returning,decor,89.15749999999998,1,19.27
105224,ORD200246,A,desktop,returning,sofa,768.11,1,16.33
105234,ORD200247,B,desktop,new,lighting,226.385,2,13.39
105310,ORD200248,A,mobile,new,bed,539.52,2,17.26
105359,ORD200249,A,desktop,new,sofa,1673.4,1,12.29
105373,ORD200250,B,desktop,new,decor,141.20799999999997,1,1.4
105431,ORD200251,B,desktop,new,sofa,1359.108,2,20.85
105433,ORD200252,A,mobile,new,lighting,150.54,1,6.2
105458,ORD200253,A,mobile,returning,dining,921.94,2,26.8
105469,ORD200254,A,mobile,returning,decor,128.87,1,2.59
105546,ORD200255,B,mobile,returning,dining,945.079,1,16.27
105564,ORD200256,B,desktop,new,sofa,2375.0,1,20.4
105571,ORD200257,A,mobile,returning,decor,137.43,1,13.38
105598,ORD200258,A,mobile,returning,lighting,119.82,1,49.85
105604,ORD200259,A,mobile,new,lighting,200.6,1,0.88
105648,ORD200260,B,mobile,new,lighting,171.98799999999997,1,10.56
105689,ORD200261,A,desktop,returning,lighting,331.05,1,2.81
105725,ORD200262,B,mobile,new,sofa,1038.388,1,10.77
105734,ORD200263,B,tablet,new,sofa,962.9105,1,18.73
105760,ORD200264,A,tablet,returning,sofa,1077.84,1,33.68
105765,ORD200265,A,mobile,new,dining,398.74,1,7.03
105796,ORD200266,B,mobile,new,decor,105.5355,2,57.94
105813,ORD200267,B,mobile,new,dining,1140.0,1,25.08
105858,ORD200268,A,mobile,returning,sofa,2500.0,2,3.09
105860,ORD200269,A,desktop,returning,dining,847.19,1,3.32
105868,ORD200270,B,mobile,returning,sofa,1014.3435,1,45.7
105888,ORD200271,B,mobile,returning,lighting,239.894,1,5.45
105907,ORD200272,B,desktop,new,sofa,1634.874,1,2.08
105931,ORD200273,B,desktop,new,bed,1618.04,1,1.51
106000,ORD200274,A,mobile,returning,sofa,1422.96,1,3.13
106055,ORD200275,A,mobile,new,decor,105.22,1,3.39
106059,ORD200276,A,desktop,new,dining,1200.0,1,4.36
106080,ORD200277,A,mobile,returning,dining,730.25,2,80.37
106092,ORD200278,A,mobile,new,bed,1184.28,2,0.49
106102,ORD200279,B,desktop,new,bed,1613.195,1,11.39
106105,ORD200280,A,desktop,returning,bed,455.19,1,41.65
106107,ORD200281,A,mobile,new,bed,1122.16,1,31.01
106142,ORD200282,B,mobile,returning,lighting,367.118,1,28.98
106155,ORD200283,B,mobile,new,dining,489.839,1,10.2
106158,ORD200284,A,desktop,returning,sofa,1005.02,1,2.49
106168,ORD200285,A,desktop,returning,decor,70.22,2,18.34
106171,ORD200286,B,mobile,new,decor,101.0135,2,26.7
106182,ORD200287,A,desktop,new,sofa,1574.92,1,6.08
106228,ORD200288,B,mobile,new,dining,357.3805,1,3.98
106229,ORD200289,B,mobile,new,lighting,157.909,1,62.97
106258,ORD200290,A,mobile,returning,sofa,1781.14,1,2.57
106263,ORD200291,B,mobile,new,decor,237.5,2,3.99
106300,ORD200292,B,desktop,returning,sofa,960.754,2,42.19
106349,ORD200293,A,mobile,new,bed,1145.76,1,17.14
106350,ORD200294,B,mobile,new,dining,402.952,1,19.16
106366,ORD200295,A,mobile,new,sofa,600.0,1,4.87
106397,ORD200296,A,mobile,new,bed,958.2,1,1.19
106407,ORD200297,B,mobile,new,bed,1232.9669999999999,1,23.24
106445,ORD200298,B,mobile,returning,bed,830.281,1,10.83
106468,ORD200299,B,mobile,returning,bed,943.3025,1,33.35
106482,ORD200300,B,tablet,returning,bed,936.7475,1,44.31
106488,ORD200301,B,mobile,returning,lighting,254.56199999999995,2,81.12
106526,ORD200302,A,desktop,returning,lighting,152.37,1,63.14
106565,ORD200303,A,desktop,new,sofa,1421.13,3,3.99
106573,ORD200304,B,mobile,returning,sofa,951.1685,1,24.9
106576,ORD200305,A,mobile,new,bed,733.77,2,0.16
106591,ORD200306,B,desktop,returning,sofa,683.0785,3,60.82
106599,ORD200307,A,desktop,returning,lighting,262.98,1,8.88
106609,ORD200308,A,desktop,returning,dining,444.81,1,77.97
106629,ORD200309,B,mobile,returning,dining,642.029,1,37.41
106636,ORD200310,A,mobile,returning,sofa,1404.09,2,10.19
106644,ORD200311,B,mobile,new,sofa,722.7505,2,4.43
106650,ORD200312,B,desktop,returning,dining,909.0835,1,38.7
106682,ORD200313,A,mobile,returning,lighting,182.73,1,44.46
106705,ORD200314,A,desktop,new,sofa,1726.25,1,20.42
106735,ORD200315,A,mobile,returning,bed,1800.0,1,40.22
106811,ORD200316,B,tablet,returning,lighting,277.96049999999997,1,31.25
106829,ORD200317,B,mobile,returning,sofa,2375.0,1,14.2
106845,ORD200318,A,desktop,new,dining,664.66,2,4.14
106863,ORD200319,B,desktop,returning,sofa,1692.5009999999997,1,16.85
106874,ORD200320,B,mobile,new,bed,1061.6154999999999,2,7.31
106928,ORD200321,B,desktop,returning,dining,1140.0,1,10.69
106937,ORD200322,B,tablet,new,bed,1103.843,2,4.49
106953,ORD200323,A,mobile,new,bed,889.72,1,27.87
106965,ORD200324,A,mobile,returning,bed,1060.38,2,7.03
106968,ORD200325,A,mobile,returning,decor,250.0,1,7.48
106989,ORD200326,B,tablet,new,sofa,2069.5465,1,19.7
107055,ORD200327,B,mobile,returning,bed,653.201,2,63.03
107070,ORD200328,A,mobile,new,decor,92.6,2,4.01
107079,ORD200329,A,mobile,returning,lighting,193.12,1,21.38
107089,ORD200330,A,mobile,returning,bed,1535.33,2,14.32
107110,ORD200331,B,mobile,new,lighting,356.27849999999995,1,3.8
107126,ORD200332,A,mobile,new,decor,151.56,2,3.32
107136,ORD200333,B,desktop,new,decor,234.916,2,28.85
107165,ORD200334,A,mobile,returning,bed,1800.0,1,23.74
107179,ORD200335,B,mobile,returning,dining,698.668,1,3.33
107209,ORD200336,A,tablet,returning,lighting,119.99,1,12.78
107227,ORD200337,A,mobile,new,decor,141.21,1,1.36
107241,ORD200338,B,tablet,new,sofa,833.5775,1,16.42
107247,ORD200339,A,desktop,returning,decor,132.45,2,13.04
107261,ORD200340,B,tablet,returning,bed,722.0569999999999,2,29.92
107269,ORD200341,B,tablet,new,sofa,1206.1675,2,5.05
107321,ORD200342,B,mobile,returning,decor,168.76749999999998,1,8.32
107323,ORD200343,A,desktop,new,dining,1145.98,2,2.19
107328,ORD200344,B,desktop,returning,bed,1073.956,1,2.84
107411,ORD200345,B,mobile,new,bed,714.1245,1,6.45
107421,ORD200346,B,mobile,new,sofa,1211.6490000000001,1,9.43
107437,ORD200347,A,desktop,returning,lighting,330.5,2,26.36
107445,ORD200348,B,desktop,returning,bed,716.737,1,8.4
107493,ORD200349,A,desktop,returning,dining,1200.0,2,7.28
107514,ORD200350,B,mobile,returning,dining,1140.0,2,135.51
107530,ORD200351,A,mobile,returning,lighting,399.4,1,32.58
107540,ORD200352,B,tablet,returning,lighting,245.5465,1,64.11
107589,ORD200353,A,desktop,returning,sofa,2156.39,1,5.7
107664,ORD200354,B,desktop,returning,bed,810.0459999999999,1,18.62
107665,ORD200355,A,desktop,new,bed,1800.0,1,5.18
107689,ORD200356,A,mobile,new,dining,593.32,1,4.45
107736,ORD200357,B,desktop,new,lighting,186.4565,1,9.47
107784,ORD200358,A,tablet,returning,dining,1160.5,1,0.25
107846,ORD200359,B,desktop,returning,bed,1113.8085,1,34.14
107853,ORD200360,B,mobile,new,dining,811.1004999999999,2,18.34
107854,ORD200361,A,mobile,new,sofa,1256.5,1,21.76
107864,ORD200362,A,desktop,returning,dining,1117.67,1,26.81
107885,ORD200363,B,desktop,returning,dining,550.3349999999999,1,19.72
107899,ORD200364,A,desktop,returning,decor,217.18,2,30.35
107923,ORD200365,A,tablet,new,decor,175.03,1,21.55
107942,ORD200366,B,desktop,returning,bed,1111.5475,2,14.24
107952,ORD200367,B,mobile,returning,dining,466.089,1,0.2
107979,ORD200368,B,tablet,new,bed,1429.693,2,7.54
107989,ORD200369,B,mobile,new,bed,1342.7015,1,24.05
108006,ORD200370,A,desktop,returning,lighting,201.45,2,9.39
108053,ORD200371,A,desktop,returning,lighting,296.51,1,14.62
108076,ORD200372,B,mobile,new,sofa,1210.8604999999998,3,3.95
108116,ORD200373,B,mobile,new,lighting,226.309,1,12.44
108119,ORD200374,A,mobile,new,lighting,253.61,1,1.18
108153,ORD200375,B,mobile,returning,dining,708.795,1,8.18
108161,ORD200376,A,mobile,new,dining,1200.0,1,22.73
108166,ORD200377,B,mobile,returning,sofa,1959.8404999999998,1,1.08
108260,ORD200378,B,mobile,new,dining,1140.0,1,10.99
108267,ORD200379,A,mobile,returning,dining,409.09,1,13.82
108279,ORD200380,A,mobile,new,sofa,1384.57,2,1.37
108322,ORD200381,A,mobile,new,bed,1387.22,1,29.73
108366,ORD200382,A,desktop,returning,lighting,214.71,1,30.24
108421,ORD200383,B,mobile,new,bed,1710.0,1,9.64
108451,ORD200384,B,desktop,new,lighting,338.77,2,16.69
108484,ORD200385,A,desktop,returning,lighting,299.95,1,37.02
108494,ORD200386,A,desktop,returning,dining,358.7,1,1.42
108520,ORD200387,B,mobile,returning,lighting,319.7795,1,10.94
108593,ORD200388,B,desktop,returning,sofa,1381.091,1,40.88
108601,ORD200389,A,desktop,returning,sofa,2157.96,3,16.9
108631,ORD200390,A,mobile,returning,dining,841.92,1,22.38
108644,ORD200391,A,desktop,new,decor,196.88,1,5.6
108657,ORD200392,A,desktop,new,decor,241.3,1,12.81
108672,ORD200393,B,mobile,returning,decor,41.363,2,3.11
108679,ORD200394,B,mobile,returning,decor,76.20899999999999,1,55.28
108693,ORD200395,B,desktop,new,decor,237.5,1,22.13
108696,ORD200396,A,desktop,new,bed,1800.0,1,12.57
108704,ORD200397,A,desktop,returning,dining,675.66,2,68.3
108770,ORD200398,B,mobile,new,decor,107.2645,2,5.54
108784,ORD200399,B,desktop,returning,bed,1710.0,1,9.57
108798,ORD200400,B,desktop,new,dining,662.4540000000001,1,9.52
108804,ORD200401,A,mobile,returning,lighting,228.27,1,26.01
108805,ORD200402,A,mobile,new,bed,896.59,1,1.41
108849,ORD200403,B,tablet,new,decor,78.7835,1,4.02
108942,ORD200404,A,desktop,new,lighting,400.0,1,41.74
108949,ORD200405,A,desktop,new,bed,1800.0,2,4.43
108955,ORD200406,A,mobile,returning,sofa,647.15,1,15.41
109082,ORD200407,B,desktop,returning,sofa,2375.0,1,52.75
109102,ORD200408,A,mobile,returning,bed,998.98,1,12.83
109104,ORD200409,B,desktop,returning,decor,137.085,2,88.5
109117,ORD200410,B,desktop,new,decor,120.4505,1,10.02
109138,ORD200411,B,mobile,new,decor,177.65,2,10.12
109159,ORD200412,B,mobile,new,sofa,1340.0034999999998,1,17.79
109186,ORD200413,B,desktop,returning,decor,192.7265,1,11.91
109212,ORD200414,A,mobile,new,decor,203.72,1,4.9
109300,ORD200415,B,desktop,returning,bed,513.9784999999999,2,19.31
109311,ORD200416,A,mobile,returning,sofa,2500.0,1,33.51
109319,ORD200417,B,mobile,new,dining,1140.0,2,21.43
109323,ORD200418,A,mobile,new,bed,1800.0,2,12.84
109353,ORD200419,B,desktop,new,sofa,570.0,2,5.08
109363,ORD200420,A,desktop,new,sofa,1105.48,2,12.82
109378,ORD200421,B,desktop,returning,decor,131.3375,1,72.07
109425,ORD200422,B,mobile,new,bed,1361.5684999999999,1,2.27
109443,ORD200423,A,mobile,new,decor,132.37,1,18.76
109458,ORD200424,B,mobile,new,lighting,165.4045,1,8.27
109468,ORD200425,A,mobile,new,dining,672.13,2,10.06
109491,ORD200426,A,tablet,new,bed,842.44,1,13.72
109494,ORD200427,B,mobile,new,dining,1140.0,1,37.65
109545,ORD200428,B,tablet,new,sofa,1746.252,1,34.55
109550,ORD200429,A,mobile,returning,bed,1800.0,1,95.4
109569,ORD200430,A,mobile,new,sofa,1357.23,1,1.56
109575,ORD200431,B,mobile,returning,bed,833.6724999999999,1,18.28
109603,ORD200432,A,mobile,returning,sofa,1407.14,1,2.09
109629,ORD200433,B,mobile,returning,sofa,884.0319999999999,2,3.43
109636,ORD200434,A,mobile,new,decor,250.0,2,24.02
